id,body_text_nostop
250,"['gare', 'langeac', 'gare', 'puyenvelay']"
251,"['gare', 'puyenvelay', 'gare', 'stgeorgesdaurac']"
252,"['gare', 'arvant', 'gare', 'puyenvelay']"
253,"['gare', 'puyenvelay', 'saintetiennechtx', 'gr']"
254,"['gare', 'puyenvelay', 'chaisedieu']"
255,"['ambert', 'gare', 'puyenvelay']"
256,"['ambert', 'gare', 'vichy']"
257,"['gare', 'pontdedore', 'gare', 'vichy']"
258,"['gare', 'ussel', 'laqueuille']"
259,"['gare', 'arvant', 'gare', 'issoire']"
260,"['gare', 'viclecomte', 'issoirelycéedeville']"
261,"['gare', 'issoire', 'lebreuilsurcouzelyc']"
262,"['gare', 'brioude', 'gare', 'issoire']"
263,"['gare', 'clermontferrand', 'gare', 'ussel']"
264,"['gare', 'luzynièvre', 'gare', 'nevers']"
265,"['gare', 'cercylatour', 'gare', 'nevers']"
266,"['gare', 'autun', 'gare', 'etang']"
267,"['gare', 'autun', 'gare', 'creusot']"
268,"['gare', 'autun', 'gare', 'montchanin']"
269,"['gare', 'moulinssurallier', 'gare', 'nevers']"
270,"['gare', 'nevers', 'gare', 'stpierrelemoûtier']"
271,"['gare', 'moulinssurallier', 'gare', 'paraylemonial']"
272,"['chauffaillesgambetta', 'gare', 'digoin']"
273,"['gare', 'digoin', 'gare', 'lozanne']"
274,"['gare', 'louhans', 'gare', 'seurre']"
275,"['gare', 'bourgenbresse', 'gare', 'seurre']"
276,"['gare', 'auxerrestgervais', 'gare', 'avallon']"
277,"['gare', 'auxerrestgervais', 'gare', 'clamecy']"
278,"['gare', 'auxerrestgervais', 'gare', 'corbigny']"
279,"['gare', 'clamecy', 'gare', 'corbigny']"
280,"['gare', 'lorient', 'gare', 'quimperlé']"
281,"['châteaubriant', 'gare', 'janzé']"
282,"['châteaubriant', 'gare', 'retiers']"
283,"['gare', 'dinan', 'gare', 'dol']"
284,"['gare', 'valençay', 'luçaylemale']"
285,"['gare', 'romorantinblancargent', 'gare', 'salbris']"
286,"['gare', 'faubourgdorléans', 'gare', 'romorantinblancargent']"
287,"['gare', 'faubourgdorléans', 'gare', 'valençay']"
288,"['fertésurchiers', 'sedanplacecalonne']"
289,"['gare', 'châlonsenchampagne', 'gare', 'verdun']"
290,"['gare', 'stdizier', 'gare', 'vitrylefrançois']"
291,"['gare', 'joinville', 'gare', 'stdizier']"
292,"['gare', 'chaumont', 'gare', 'stdizier']"
293,"['gare', 'chaumont', 'gare', 'joinville']"
294,"['gare', 'chaumont', 'langresgendarmerie']"
295,"['gare', 'chaumont', 'gare', 'troyes']"
296,"['gare', 'barsuraube', 'juvancourt']"
297,"['gare', 'barsuraube', 'gare', 'troyes']"
